dms_image_id,loc_num,loc_state,corp_copy_dt,image_filename,dms_doc_type,process_code,scan_status,form_id,version_id,description,stock_num,vin,vin_last_6,vehicle_desc,dealer_id,company,corporate_path,reference_num,transaction_date,document_type,file_location
708664,4000,MD,01/20/2021 09:45:11,2093104347,11,6,1,40000045,1,Wholesale Purchase Agreement,18913339,1FTRF18W51NB05660,B05660,2001 FORD F150,,,,18913339,01/20/2021 09:32:40,AUC,\\CLBFLNFSSCLPFS\T3Staging01\Auction\ACTIVE_IMAGES\20210120_094509_Auction_4000\2093104347.tiff
708662,4000,MD,01/20/2021 09:45:10,2081744397,11,6,1,40000045,1,Wholesale Purchase Agreement,19526978,1D8GU58K68W178253,178253,2008 DODGE NITRO,824,LAUREL KIA,,19526978,01/20/2021 09:32:05,AUC,\\CLBFLNFSSCLPFS\T3Staging01\Auction\ACTIVE_IMAGES\20210120_094509_Auction_4000\2081744397.tiff
708663,4000,MD,01/20/2021 09:45:11,2080718826,11,6,1,40000045,1,Wholesale Purchase Agreement,19527035,1C4AJWAG4FL546386,546386,2015 JEEP WRANGLER,824,LAUREL KIA,,19527035,01/20/2021 09:32:21,AUC,\\CLBFLNFSSCLPFS\T3Staging01\Auction\ACTIVE_IMAGES\20210120_094509_Auction_4000\2080718826.tiff
708660,4000,MD,01/20/2021 09:45:10,2090608783,11,6,5,40000045,1,Wholesale Purchase Agreement,19755419,4T1BE32K73U649006,649006,2003 TOYOTA CAMRY,2938,FAV NIGERIA LIMITED,,19755419,01/20/2021 09:28:58,AUC,\\CLBFLNFSSCLPFS\T3Staging01\Auction\ACTIVE_IMAGES\20210120_094509_Auction_4000\2090608783.tiff
708661,4000,MD,01/20/2021 09:45:10,2089934004,11,6,1,40000045,1,Wholesale Purchase Agreement,19755419,4T1BE32K73U649006,649006,2003 TOYOTA CAMRY,2938,FAV NIGERIA LIMITED,,19755419,01/20/2021 09:29:50,AUC,\\CLBFLNFSSCLPFS\T3Staging01\Auction\ACTIVE_IMAGES\20210120_094509_Auction_4000\2089934004.tiff
708665,4000,MD,01/20/2021 09:45:11,2081606576,11,6,1,40000045,1,Wholesale Purchase Agreement,19794719,JF1GF4851VH814807,814807,1997 SUBARU IMPREZA,,,,19794719,01/20/2021 09:32:57,AUC,\\CLBFLNFSSCLPFS\T3Staging01\Auction\ACTIVE_IMAGES\20210120_094509_Auction_4000\2081606576.tiff
708666,4000,MD,01/20/2021 09:45:11,2092396665,11,6,1,40000045,1,Wholesale Purchase Agreement,19794734,SALGS2WF9EA154202,154202,2014 LAND ROVER RANGE ROVER,320,EXOTIC MOTORS INC,,19794734,01/20/2021 09:38:25,AUC,\\CLBFLNFSSCLPFS\T3Staging01\Auction\ACTIVE_IMAGES\20210120_094509_Auction_4000\2092396665.tiff
708658,4000,MD,01/20/2021 09:45:09,2088801505,11,6,1,40000045,1,Wholesale Purchase Agreement,20067241,1G2AT18H797123878,123878,2009 PONTIAC G5,,,,20067241,01/20/2021 09:15:09,AUC,\\CLBFLNFSSCLPFS\T3Staging01\Auction\ACTIVE_IMAGES\20210120_094509_Auction_4000\2088801505.tiff
