dms_image_id,loc_num,loc_state,corp_copy_dt,image_filename,dms_doc_type,process_code,scan_status,form_id,version_id,description,stock_num,vin,cust_id,corporate_path,reference_num,transaction_date,file_location
7816063,7111,TX,01/20/2021 08:00:17,175999593,10,6,1,40000005,1,Loaner Vehicle Form,19874825,KNMAT2MV3JP544594,874755,,19874825,01/20/2021 07:31:56,\\CLBFLNFSSCLPFS\T3Staging01\Service\ACTIVE_IMAGES\20210120_080016_Service_7111\175999593.tiff
7816066,7111,TX,01/20/2021 08:00:19,182680348,10,6,1,40000005,1,Loaner Vehicle Form,19875876,5N1AT2MT5HC872076,273012,,19875876,01/20/2021 07:34:00,\\CLBFLNFSSCLPFS\T3Staging01\Service\ACTIVE_IMAGES\20210120_080016_Service_7111\182680348.tiff
7816070,7111,TX,01/20/2021 08:00:20,173452184,10,6,1,40000005,1,Loaner Vehicle Form,19888965,5NPD84LF2KH418907,913993,,19888965,01/20/2021 07:36:22,\\CLBFLNFSSCLPFS\T3Staging01\Service\ACTIVE_IMAGES\20210120_080016_Service_7111\173452184.tiff
7816064,7111,TX,01/20/2021 08:00:18,170197302,10,6,1,40000005,1,Loaner Vehicle Form,19889055,3N1AB7AP7KY304389,303346,,19889055,01/20/2021 07:32:44,\\CLBFLNFSSCLPFS\T3Staging01\Service\ACTIVE_IMAGES\20210120_080016_Service_7111\170197302.tiff
7816067,7111,TX,01/20/2021 08:00:19,182504213,10,6,1,40000005,1,Loaner Vehicle Form,19889363,JA4AT5AA0JZ041199,905898,,19889363,01/20/2021 07:34:34,\\CLBFLNFSSCLPFS\T3Staging01\Service\ACTIVE_IMAGES\20210120_080016_Service_7111\182504213.tiff
7816065,7111,TX,01/20/2021 08:00:18,173616343,10,6,1,40000005,1,Loaner Vehicle Form,19990077,MAJ3P1TE4JC247730,,,19990077,01/20/2021 07:33:16,\\CLBFLNFSSCLPFS\T3Staging01\Service\ACTIVE_IMAGES\20210120_080016_Service_7111\173616343.tiff
7816069,7111,TX,01/20/2021 08:00:20,169739427,10,6,1,40000005,1,Loaner Vehicle Form,19990456,3C4PDCAB0HT710115,913216,,19990456,01/20/2021 07:35:47,\\CLBFLNFSSCLPFS\T3Staging01\Service\ACTIVE_IMAGES\20210120_080016_Service_7111\169739427.tiff
7816068,7111,TX,01/20/2021 08:00:20,175987218,10,6,1,40000005,1,Loaner Vehicle Form,19990459,1G1ZD5ST4JF205487,917259,,19990459,01/20/2021 07:35:12,\\CLBFLNFSSCLPFS\T3Staging01\Service\ACTIVE_IMAGES\20210120_080016_Service_7111\175987218.tiff
